yr,blk,AJ01,J11,J13,J14,J15,J16,J17,J18,J19,J110,J111,J112,J113
24,J,128712,12,9995000,0,0.0,0.0,2550440727.0,466279330.0,0.0,10681067.0,0.0,0.0,2071455729.0
24,J,128713,1,3423199,27,105466.0,105812.0,57557261273.0,4300914275.0,0.0,1327290407.0,0.0,490767.18,51759251148.0
24,J,128713,2,3411017,9,27698138.22,19354062.94,2369157108.0,422477091.0,0.0,243328938.0,0.0,88.01,2437713145.0
24,J,128713,11,9921100,0,0.0,0.0,381763715.0,0.0,0.0,0.0,0.0,0.0,381763715.0
24,J,128713,12,9995000,0,0.0,0.0,60308182096.0,4723391366.0,0.0,1570619345.0,0.0,0.0,54578728008.0
24,J,128714,1,3423101,9,144636623.11,136877065.0,576226234.0,0.0,0.0,24505650.0,0.0,4.03,582997613.0
24,J,128714,2,3413925,9,4712095.0,4986127.0,466960164.0,0.0,0.0,17906442.0,0.0,90.06,424374228.0
24,J,128714,3,3411010,9,2013445.0,2055357.0,256216041.0,0.0,0.0,12937225.0,0.0,118.36,238317974.0
24,J,128714,4,1730002,3,52550.0,52779.0,72877455.0,0.0,0.0,9478591.0,0.0,1201.21,63123786.0
24,J,128714,5,1520004,9,141879.25,141879.25,1140306.0,0.0,0.0,5272.0,0.0,8.0,1135034.0
24,J,128714,12,9995000,0,0.0,0.0,1373420200.0,0.0,0.0,64833180.0,0.0,0.0,1309948635.0
24,J,128715,1,3511006,9,1593743.0,2508570.0,1092655961.0,0.0,0.0,34908193.0,0.0,421.65,672007598.0
24,J,128715,11,9921100,0,0.0,0.0,11917633.0,0.0,0.0,0.0,0.0,0.0,11917633.0
24,J,128715,12,9995000,0,0.0,0.0,1104573594.0,0.0,0.0,34908193.0,0.0,0.0,683925231.0
24,J,128716,1,3549001,9,7601443.0,7600227.0,1576705225.0,0.0,0.0,56511383.0,0.0,200.02,1520437066.0
24,J,128716,2,3633001,27,2552.0,2492.0,984681667.0,0.0,0.0,1185327.0,0.0,394661.45,1007176027.0
24,J,128716,11,9921100,0,0.0,0.0,1998170.0,0.0,0.0,0.0,0.0,0.0,1998170.0
24,J,128716,12,9995000,0,0.0,0.0,2563385062.0,0.0,0.0,57696710.0,0.0,0.0,2529611263.0
24,J,128717,1,3511028,9,1814479.0,1787360.0,815260726.0,0.0,0.0,23460108.0,0.0,443.0,803814337.0
24,J,128717,12,9995000,0,0.0,0.0,815260726.0,0.0,0.0,23460108.0,0.0,0.0,803814337.0
24,J,128718,1,3425021,27,80081.0,84720.0,7637572236.0,1165053392.0,0.0,0.0,0.0,76398.95,6118104126.0
24,J,128718,2,3425024,9,8985469.0,15847058.0,2596589392.0,567432657.0,0.0,0.0,0.0,128.05,1150555828.0
